MsgID.STATE,1520429622.4273419,False,False
MsgID.LOCAL_POSITION,1520429629.0203822,0.0246994,-0.1511121,-0.0229897
MsgID.LOCAL_VELOCITY,1520429629.0203822,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429629.2685425,-121.9939368,37.4137409,0.0470000
MsgID.LOCAL_VELOCITY,1520429629.2685425,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429629.2710490,0.0196677,-0.0286744,-0.0474557
MsgID.LOCAL_VELOCITY,1520429629.2710490,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520429629.5172038,False,False
MsgID.GLOBAL_HOME,1520429629.5192091,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520429629.5212152,-121.9939365,37.4137420,0.0670000
MsgID.LOCAL_VELOCITY,1520429629.5212152,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429629.5232198,0.1491085,0.0000000,-0.0678370
MsgID.LOCAL_VELOCITY,1520429629.5232198,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429629.7678709,-121.9939365,37.4137404,0.0770000
MsgID.LOCAL_VELOCITY,1520429629.7678709,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429629.7698762,-0.0356101,0.0000000,-0.0778725
MsgID.LOCAL_VELOCITY,1520429629.7698762,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429630.0185378,-121.9939365,37.4137402,0.0820000
MsgID.LOCAL_VELOCITY,1520429630.0185378,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429630.0210443,-0.0586474,-0.0000103,-0.0820448
MsgID.LOCAL_VELOCITY,1520429630.0210443,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429630.2692049,-121.9939363,37.4137419,0.0820000
MsgID.LOCAL_VELOCITY,1520429630.2692049,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429630.2717113,0.1316074,0.0136387,-0.0824989
MsgID.LOCAL_VELOCITY,1520429630.2717113,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520429630.5158613,False,False
MsgID.GLOBAL_HOME,1520429630.5183678,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520429630.5198715,-121.9939358,37.4137421,0.0820000
MsgID.LOCAL_VELOCITY,1520429630.5198715,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429630.5218771,0.1615584,0.0625641,-0.0825000
MsgID.LOCAL_VELOCITY,1520429630.5218771,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429630.7685330,-121.9939357,37.4137416,0.0820000
MsgID.LOCAL_VELOCITY,1520429630.7685330,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429630.7710400,0.1009579,0.0646855,-0.0825000
MsgID.LOCAL_VELOCITY,1520429630.7710400,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429631.0192001,-121.9939348,37.4137402,0.0820000
MsgID.LOCAL_VELOCITY,1520429631.0192001,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429631.0212054,-0.0500003,0.1514019,-0.0825000
MsgID.LOCAL_VELOCITY,1520429631.0212054,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429631.2698669,-121.9939358,37.4137402,0.0820000
MsgID.LOCAL_VELOCITY,1520429631.2698669,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429631.2723734,-0.0536415,0.0548859,-0.0825077
MsgID.LOCAL_VELOCITY,1520429631.2723734,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520429631.5165236,False,False
MsgID.GLOBAL_HOME,1520429631.5185282,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520429631.5205338,-121.9939378,37.4137406,0.0830000
MsgID.LOCAL_VELOCITY,1520429631.5205338,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429631.5225387,-0.0077028,-0.1148733,-0.0831974
MsgID.LOCAL_VELOCITY,1520429631.5225387,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429631.7686939,-121.9939375,37.4137407,0.0860000
MsgID.LOCAL_VELOCITY,1520429631.7686939,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429631.7712007,0.0000000,-0.0950983,-0.0860686
MsgID.LOCAL_VELOCITY,1520429631.7712007,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429632.0193608,-121.9939350,37.4137407,0.0930000
MsgID.LOCAL_VELOCITY,1520429632.0193608,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429632.0213664,0.0061053,0.1319683,-0.0932087
MsgID.LOCAL_VELOCITY,1520429632.0213664,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429632.2700279,-121.9939347,37.4137417,0.1020000
MsgID.LOCAL_VELOCITY,1520429632.2700279,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429632.2725344,0.1160530,0.1613256,-0.1021989
MsgID.LOCAL_VELOCITY,1520429632.2725344,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520429632.5156820,False,False
MsgID.GLOBAL_HOME,1520429632.5181878,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520429632.5196917,-121.9939356,37.4137409,0.1120000
MsgID.LOCAL_VELOCITY,1520429632.5196917,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429632.5216973,0.0216726,0.0813251,-0.1128316
MsgID.LOCAL_VELOCITY,1520429632.5216973,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429632.7698576,-121.9939376,37.4137396,0.1190000
MsgID.LOCAL_VELOCITY,1520429632.7698576,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429632.7723644,-0.1237106,-0.0979440,-0.1191986
MsgID.LOCAL_VELOCITY,1520429632.7723644,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,1520429633.0205243,0.1267374,-0.1142007,-0.1193513
MsgID.LOCAL_VELOCITY,1520429633.0205243,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429633.0225298,-121.9939378,37.4137418,0.1190000
MsgID.LOCAL_VELOCITY,1520429633.0225298,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION
